PoS-word	#labels	#instances	most common label	#	label	#	label	#	label	#	label	#	label	#	label	#
NNS-attendees	1	2	b-noun.person	2												
NNP-derek	1	2	b-noun.person	2												
NN-running back	1	2	b-noun.person	2												
NN-twin	1	2	b-noun.person	2												
NN-mother	1	2	b-noun.person	2												
NNP-rose	1	2	b-noun.person	2												
NNS-followers	1	2	b-noun.person	2												
NN-person	1	2	b-noun.person	2												
NNS-niggers	1	2	b-noun.person	2												
NN-wife	1	2	b-noun.person	2												
NNP-cody	1	2	b-noun.person	2												
NNP-justin Bieber	1	2	b-noun.person	2												
NOUN-person	1	2	b-noun.person	2												
NN-dude	1	2	b-noun.person	2												
NOUN-unfollower	1	2	b-noun.person	2												
NN-dj	1	2	b-noun.person	2												
NNP-i	1	2	b-noun.person	2												
NN-lady	1	2	b-noun.person	2												
NNS-niggaz	1	2	b-noun.person	2												
NNP-soulja Boy	1	2	b-noun.person	2												
NN-doctor	1	2	b-noun.person	2												
NNP-steve	1	2	b-noun.person	2												
NNP-adam	1	2	b-noun.person	2												
NNP-cier	1	2	b-noun.person	2												
NN-son	1	2	b-noun.person	2												
NNP-taylor	1	2	b-noun.person	2												
NN-man	1	2	b-noun.person	2												
NN-reason	1	2	b-noun.motive	2												
NNP-lake Charles	1	2	b-noun.location	2												
NNP-ustream	1	2	b-noun.location	2												
NNP-campus Village	1	2	b-noun.location	2												
NNP-bihar	1	2	b-noun.location	2												
NOUN-japan	1	2	b-noun.location	2												
NNP-temecula CA	1	2	b-noun.location	2												
NOUN-oakland	1	2	b-noun.location	2												
NOUN-home	1	2	b-noun.location	2												
NNP-ces	1	2	b-noun.location	2												
NNP-el PASO	1	2	b-noun.location	2												
NN-office	1	2	b-noun.location	2												
NNP-ny	1	2	b-noun.location	2												
NOUN-#syria's	1	2	b-noun.location	2												
NOUN-#qatar	1	2	b-noun.location	2												
NNP-la	1	2	b-noun.location	2												
NNP-notre Dame	1	2	b-noun.group	2												
NNP-zazzle	1	2	b-noun.group	2												
NOUN-#fifa	1	2	b-noun.group	2												
NN-team	1	2	b-noun.group	2												
NOUN-england	1	2	b-noun.group	2												
NN-photo Gallery	1	2	b-noun.group	2												
NOUN-napoli	1	2	b-noun.group	2												
NOUN-class	1	2	b-noun.group	2												
NNP-ncaaf	1	2	b-noun.group	2												
NN-chocolate	1	2	b-noun.food	2												
NN-tea	1	2	b-noun.food	2												
NOUN-workshop	1	2	b-noun.event	2												
NNS-episodes	1	2	b-noun.communication	2												
NOUN-film	1	2	b-noun.communication	2												
NOUN-video	1	2	b-noun.communication	2												
NOUN-soccer news	1	2	b-noun.communication	2												
NN-exclusive	1	2	b-noun.communication	2												
NNP-youtube Videos	1	2	b-noun.communication	2												
NN-resume	1	2	b-noun.communication	2												
NN-advice	1	2	b-noun.communication	2												
NOUN-info	1	2	b-noun.communication	2												
NNP-the Good Guys	1	2	b-noun.communication	2												
NNP-fb	1	2	b-noun.communication	2												
NN-music	1	2	b-noun.communication	2												
NN-mail	1	2	b-noun.communication	2												
NNP-fox	1	2	b-noun.communication	2												
NN-3d	1	2	b-noun.communication	2												
NNP-facebook	1	2	b-noun.communication	2												
NOUN-bid	1	2	b-noun.communication	2												
NNS-thanks	1	2	b-noun.communication	2												
NOUN-album	1	2	b-noun.communication	2												
NNP-antick Musings	1	2	b-noun.communication	2												
NOUN-details	1	2	b-noun.communication	2												
NNP-running Wilde	1	2	b-noun.communication	2												
NNS-questions	1	2	b-noun.communication	2												
NN-code	1	2	b-noun.communication	2												
NNP-drama Edition	1	2	b-noun.communication	2												
NOUN-interview	1	2	b-noun.communication	2												
NN-tune	1	2	b-noun.communication	2												
NN-experience	1	2	b-noun.cognition	2												
NN-dream	1	2	b-noun.cognition	2												
NN-religion	1	2	b-noun.cognition	2												
NN-face	1	2	b-noun.body	2												
NN-ass	1	2	b-noun.body	2												
NN-mouth	1	2	b-noun.body	2												
NN-foot	1	2	b-noun.body	2												
NN-bath	1	2	b-noun.artifact	2												
NNP-jersey shore	1	2	b-noun.artifact	2												
NNS-jerseys	1	2	b-noun.artifact	2												
NN-image	1	2	b-noun.artifact	2												
NNS-pants	1	2	b-noun.artifact	2												
NNP-visions LOUNGE	1	2	b-noun.artifact	2												
NOUN-iphone	1	2	b-noun.artifact	2												
NNP-pandora	1	2	b-noun.artifact	2												
NOUN-car	1	2	b-noun.artifact	2												
NOUN-dress	1	2	b-noun.artifact	2												
NN-wall	1	2	b-noun.artifact	2												
NOUN-bear	1	2	b-noun.artifact	2												
NNP-htc Desire Z	1	2	b-noun.artifact	2												
NNS-pictures	1	2	b-noun.artifact	2												
NNS-shorts	1	2	b-noun.artifact	2												
NN-dog	1	2	b-noun.animal	2												
NN-winter finale	1	2	b-noun.act	2												
NOUN-services	1	2	b-noun.act	2												
NNS-observances	1	2	b-noun.act	2												
NN-visit	1	2	b-noun.act	2												
NOUN-#jobs	1	2	b-noun.act	2												
NOUN-bpm	1	2	b-noun.act	2												
NN-rehab	1	2	b-noun.act	2												
NNS-chances	1	2	b-noun.act	2												
NN-polling	1	2	b-noun.act	2												
NN-counting	1	2	b-noun.act	2												
NN-run	1	2	b-noun.act	2												
VBZ-rains	1	1	b-verb.weather	1												
VB-rain	1	1	b-verb.weather	1												
VB-pass	1	1	b-verb.stative	1												
VBG-havin	1	1	b-verb.stative	1												
VBZ-checks	1	1	b-verb.stative	1												
VERB-am	1	1	b-verb.stative	1												
VBZ-was/is	1	1	b-verb.stative	1												
VB-ntake	1	1	b-verb.stative	1												
VBG-keeping	1	1	b-verb.stative	1												
VBN-required	1	1	b-verb.stative	1												
VB-be gettin	1	1	b-verb.stative	1												
VERB-being	1	1	b-verb.stative	1												
NN-am	1	1	b-verb.stative	1												
VERB-fell	1	1	b-verb.stative	1												
VB-end	1	1	b-verb.stative	1												
VB-preserve	1	1	b-verb.stative	1												
VBN-exceeded	1	1	b-verb.stative	1												
VBG-running	1	1	b-verb.stative	1												
VBP-spent	1	1	b-verb.stative	1												
VBP-r	1	1	b-verb.stative	1												
VBD-kept	1	1	b-verb.stative	1												
VB-rest	1	1	b-verb.stative	1												
VBG-waking	1	1	b-verb.stative	1												
NNP-dead	1	1	b-verb.stative	1												
VERB-need	1	1	b-verb.stative	1												
VERB-depends	1	1	b-verb.stative	1												
VBZ-matters	1	1	b-verb.stative	1												
VBP-ai	1	1	b-verb.stative	1												
VBP-aint	1	1	b-verb.stative	1												
VBP-persist	1	1	b-verb.stative	1												
VBD-wasz	1	1	b-verb.stative	1												
VBP-match	1	1	b-verb.stative	1												
VBN-stuck	1	1	b-verb.stative	1												
VBZ-features	1	1	b-verb.stative	1												
VBG-takin	1	1	b-verb.stative	1												
VBN-featured	1	1	b-verb.stative	1												
VBD-fitted	1	1	b-verb.stative	1												
VBZ-sits	1	1	b-verb.stative	1												
VBP-require	1	1	b-verb.stative	1												
VBN-needed	1	1	b-verb.stative	1												
VB-tryy~	1	1	b-verb.stative	1												
VERB-covering	1	1	b-verb.stative	1												
VBZ-are	1	1	b-verb.stative	1												
VBP-tend	1	1	b-verb.stative	1												
VBG-ft	1	1	b-verb.stative	1												
VB-dnt	1	1	b-verb.stative	1												
VBD-spent	1	1	b-verb.stative	1												
VB-stick	1	1	b-verb.stative	1												
VBZ-continues	1	1	b-verb.stative	1												
VBD-saved	1	1	b-verb.stative	1												
VB-skip	1	1	b-verb.stative	1												
VBP-deserve	1	1	b-verb.stative	1												
VB-survive	1	1	b-verb.stative	1												
POS-'s	1	1	b-verb.stative	1												
VBZ-leads	1	1	b-verb.stative	1												
VERB-features	1	1	b-verb.stative	1												
VBD-wass	1	1	b-verb.stative	1												
VBG-missing	1	1	b-verb.stative	1												
VBZ-workz	1	1	b-verb.stative	1												
VBZ-saves	1	1	b-verb.stative	1												
VERB-i'm	1	1	b-verb.stative	1												
VBZ-ai	1	1	b-verb.stative	1												
VBZ-needs	1	1	b-verb.stative	1												
NNP-'s	1	1	b-verb.stative	1												
VB-b	1	1	b-verb.stative	1												
VBG-chillin	1	1	b-verb.stative	1												
VBZ-keeps	1	1	b-verb.stative	1												
VBG-cutting	1	1	b-verb.stative	1												
VBD-wasnt	1	1	b-verb.stative	1												
VBZ-want	1	1	b-verb.stative	1												
VERB-needed	1	1	b-verb.stative	1												
VBZ-plays	1	1	b-verb.stative	1												
VERB-wait	1	1	b-verb.stative	1												
VBZ-iis	1	1	b-verb.stative	1												
VBG-sleeping	1	1	b-verb.stative	1												
VBG-ending	1	1	b-verb.stative	1												
VBG-proving	1	1	b-verb.stative	1												
VBD-honored	1	1	b-verb.social	1												
VERB-found	1	1	b-verb.social	1												
VBD-entertained	1	1	b-verb.social	1												
VB-f*ck	1	1	b-verb.social	1												
VB-act	1	1	b-verb.social	1												
VERB-work	1	1	b-verb.social	1												
VBG-getting married	1	1	b-verb.social	1												
VB-happen	1	1	b-verb.social	1												
VBN-drafted	1	1	b-verb.social	1												
VBN-arrived	1	1	b-verb.social	1												
VERB-ordered	1	1	b-verb.social	1												
VB-save	1	1	b-verb.social	1												
VERB-rejoins	1	1	b-verb.social	1												
VBN-saved	1	1	b-verb.social	1												
VBG-foin	1	1	b-verb.social	1												
VBN-tried	1	1	b-verb.social	1												
VBP-try	1	1	b-verb.social	1												
VBN-caught	1	1	b-verb.social	1												
VBD-managed	1	1	b-verb.social	1												
VBP-succeed	1	1	b-verb.social	1												
VBG-getn	1	1	b-verb.social	1												
VBG-fakin	1	1	b-verb.social	1												
VERB-stahp	1	1	b-verb.social	1												
VBG-meeting	1	1	b-verb.social	1												
VBG-popping	1	1	b-verb.social	1												
VBG-failing	1	1	b-verb.social	1												
VERB-waiting	1	1	b-verb.social	1												
VBZ-commit	1	1	b-verb.social	1												
VBP-let	1	1	b-verb.social	1												
VB-bomb	1	1	b-verb.social	1												
VB-race	1	1	b-verb.social	1												
VB-respect	1	1	b-verb.social	1												
VERB-drives	1	1	b-verb.social	1												
VBP-rape	1	1	b-verb.social	1												
VERB-launched	1	1	b-verb.social	1												
VB-role play	1	1	b-verb.social	1												
VBG-dealing	1	1	b-verb.social	1												
VBD-invited	1	1	b-verb.social	1												
VBP-work	1	1	b-verb.social	1												
VB-escape	1	1	b-verb.social	1												
VBP-handle	1	1	b-verb.social	1												
VBN-respected	1	1	b-verb.social	1												
VBG-launching	1	1	b-verb.social	1												
VERB-take	1	1	b-verb.social	1												
VBN-married	1	1	b-verb.social	1												
VBG-hanging	1	1	b-verb.social	1												
VB-rep	1	1	b-verb.social	1												
VB-please	1	1	b-verb.social	1												
VBG-helping	1	1	b-verb.social	1												
VBG-celebrating	1	1	b-verb.social	1												
VBP-use	1	1	b-verb.social	1												
VB-spoil	1	1	b-verb.social	1												
VB-further	1	1	b-verb.social	1												
VBD-surprised	1	1	b-verb.social	1												
VBG-sorting	1	1	b-verb.social	1												
VERB-struggling	1	1	b-verb.social	1												
VBP-dont	1	1	b-verb.social	1												
VBG-joining	1	1	b-verb.social	1												
VBP-invite	1	1	b-verb.social	1												
VB-hit	1	1	b-verb.social	1												
VB-take hold	1	1	b-verb.social	1												
VBN-canceled	1	1	b-verb.social	1												
VBP-mark	1	1	b-verb.social	1												
HT-#ff'ed	1	1	b-verb.social	1												
VBP-cn	1	1	b-verb.social	1												
VB-support	1	1	b-verb.social	1												
VBG-preventing	1	1	b-verb.social	1												
NN-join	1	1	b-verb.social	1												
VERB-try	1	1	b-verb.social	1												
VBN-brought	1	1	b-verb.social	1												
VB-party	1	1	b-verb.social	1												
VBD-marked	1	1	b-verb.social	1												
VBP-expose	1	1	b-verb.social	1												
VBZ-lets	1	1	b-verb.social	1												
VBN-did	1	1	b-verb.social	1												
VERB-falling	1	1	b-verb.social	1												
VB-goof	1	1	b-verb.social	1												
VERB-get married	1	1	b-verb.social	1												
VERB-allow	1	1	b-verb.social	1												
VBZ-joins	1	1	b-verb.social	1												
VERB-leaves	1	1	b-verb.social	1												
VBD-failed	1	1	b-verb.social	1												
VBZ-sponsors	1	1	b-verb.possession	1												
VBN-found	1	1	b-verb.possession	1												
VERB-buy	1	1	b-verb.possession	1												
VBN-gotten	1	1	b-verb.possession	1												
VBD-earned	1	1	b-verb.possession	1												
VB-subscribe	1	1	b-verb.possession	1												
VERB-receives	1	1	b-verb.possession	1												
VERB-provide	1	1	b-verb.possession	1												
VB-pay	1	1	b-verb.possession	1												
VBN-reserved	1	1	b-verb.possession	1												
VB-provide	1	1	b-verb.possession	1												
VB-waste	1	1	b-verb.possession	1												
VBG-shopping	1	1	b-verb.possession	1												
VBN-sold	1	1	b-verb.possession	1												
VBD-bought	1	1	b-verb.possession	1												
VBN-lost	1	1	b-verb.possession	1												
VERB-hire	1	1	b-verb.possession	1												
VBZ-donates	1	1	b-verb.possession	1												
VB-order	1	1	b-verb.possession	1												
VBG-boycotting	1	1	b-verb.possession	1												
VBD-donated	1	1	b-verb.possession	1												
VB-load	1	1	b-verb.possession	1												
VBD-sold	1	1	b-verb.possession	1												
VBZ-gives	1	1	b-verb.possession	1												
VBN-paid	1	1	b-verb.possession	1												
VBP-buy	1	1	b-verb.possession	1												
VERB-put	1	1	b-verb.possession	1												
VBP-purchase	1	1	b-verb.possession	1												
VB-deliver	1	1	b-verb.possession	1												
VB-have got	1	1	b-verb.possession	1												
VBP-finance	1	1	b-verb.possession	1												
VERB-buying	1	1	b-verb.possession	1												
VB-receive	1	1	b-verb.possession	1												
VB-'ve	1	1	b-verb.possession	1												
NN-of	1	1	b-verb.possession	1												
VBD-hadd	1	1	b-verb.possession	1												
VBG-picking	1	1	b-verb.possession	1												
VB-dispose	1	1	b-verb.possession	1												
VBN-given	1	1	b-verb.possession	1												
VBZ-sounds	1	1	b-verb.perception	1												
VBZ-listens	1	1	b-verb.perception	1												
VERB-listen	1	1	b-verb.perception	1												
VBZ-appears	1	1	b-verb.perception	1												
VBN-watched	1	1	b-verb.perception	1												
VBZ-stares	1	1	b-verb.perception	1												
VBD-didnt see	1	1	b-verb.perception	1												
VBD-heard	1	1	b-verb.perception	1												
VBN-experienced	1	1	b-verb.perception	1												
VBN-noticed	1	1	b-verb.perception	1												
VBG-ringing	1	1	b-verb.perception	1												
VERB-seen	1	1	b-verb.perception	1												
VBD-listened	1	1	b-verb.perception	1												
VBP-c	1	1	b-verb.perception	1												
VBD-stared	1	1	b-verb.perception	1												
VERB-showed	1	1	b-verb.perception	1												
VBZ-seen	1	1	b-verb.perception	1												
VERB-spied	1	1	b-verb.perception	1												
VB-hear	1	1	b-verb.perception	1												
VBD-rang	1	1	b-verb.perception	1												
VBZ-looks	1	1	b-verb.perception	1												
VERB-look	1	1	b-verb.perception	1												
NOUN-#view	1	1	b-verb.perception	1												
VBP-watch	1	1	b-verb.perception	1												
VB-ignore	1	1	b-verb.perception	1												
VBP-check	1	1	b-verb.perception	1												
VERB-appears	1	1	b-verb.perception	1												
VBP-hear	1	1	b-verb.perception	1												
VB-sound	1	1	b-verb.perception	1												
VBN-looked	1	1	b-verb.perception	1												
VERB-missing	1	1	b-verb.perception	1												
VBZ-smells	1	1	b-verb.perception	1												
VBZ-reeks	1	1	b-verb.perception	1												
VB-taste	1	1	b-verb.perception	1												
VBP-pull	1	1	b-verb.motion	1												
VB-arrive	1	1	b-verb.motion	1												
VBG-leavin	1	1	b-verb.motion	1												
VB-rise	1	1	b-verb.motion	1												
VB-twirlllllllllll	1	1	b-verb.motion	1												
VBG-tapping	1	1	b-verb.motion	1												
VBG-shooting	1	1	b-verb.motion	1												
VBG-gon	1	1	b-verb.motion	1												
VBP-play	1	1	b-verb.motion	1												
VB-leav	1	1	b-verb.motion	1												
VBP-reach	1	1	b-verb.motion	1												
VBG-pulling	1	1	b-verb.motion	1												
VB-rock	1	1	b-verb.motion	1												
VBG-traveling	1	1	b-verb.motion	1												
VBZ-takes	1	1	b-verb.motion	1												
VBZ-goes	1	1	b-verb.motion	1												
VB-dance	1	1	b-verb.motion	1												
NN-position	1	1	b-verb.motion	1												
VBP-proceed	1	1	b-verb.motion	1												
VB-stoop	1	1	b-verb.motion	1												
VB-ride	1	1	b-verb.motion	1												
VB-leave	1	1	b-verb.motion	1												
VERB-gain	1	1	b-verb.motion	1												
VB-shoot	1	1	b-verb.motion	1												
VB-kickit	1	1	b-verb.motion	1												
VBP-move	1	1	b-verb.motion	1												
VBZ-grinds	1	1	b-verb.motion	1												
VBP-snuck	1	1	b-verb.motion	1												
VBP-stop	1	1	b-verb.motion	1												
VB-walk	1	1	b-verb.motion	1												
NOUN-#washing	1	1	b-verb.motion	1												
VBP-fly	1	1	b-verb.motion	1												
VBN-stuffed	1	1	b-verb.motion	1												
VBD-landed	1	1	b-verb.motion	1												
VBD-tumbled	1	1	b-verb.motion	1												
VERB-slipped	1	1	b-verb.motion	1												
VERB-move	1	1	b-verb.motion	1												
VBP-take	1	1	b-verb.motion	1												
VBP-cross	1	1	b-verb.motion	1												
VBZ-ships	1	1	b-verb.motion	1												
VBG-travelling	1	1	b-verb.motion	1												
VB-fly	1	1	b-verb.motion	1												
VB-crash	1	1	b-verb.motion	1												
VBG-chasin	1	1	b-verb.motion	1												
VBG-leaving	1	1	b-verb.motion	1												
VBZ-enters	1	1	b-verb.motion	1												
VB-drive	1	1	b-verb.motion	1												
VBD-marched	1	1	b-verb.motion	1												
VBP-arrive	1	1	b-verb.motion	1												
VBP-*purrs	1	1	b-verb.motion	1												
VBG-rockin	1	1	b-verb.motion	1												
VB-cum	1	1	b-verb.motion	1												
VBG-bringing	1	1	b-verb.motion	1												
VB-slip	1	1	b-verb.motion	1												
VERB-hit	1	1	b-verb.motion	1												
VBG-walking	1	1	b-verb.motion	1												
VBG-hitting	1	1	b-verb.motion	1												
VBN-stopped	1	1	b-verb.motion	1												
VBP-care	1	1	b-verb.emotion	1												
VBG-trippin	1	1	b-verb.emotion	1												
VB-freak	1	1	b-verb.emotion	1												
VBD-excited	1	1	b-verb.emotion	1												
VBN-thrilled	1	1	b-verb.emotion	1												
VBG-feelin	1	1	b-verb.emotion	1												
VBP-shine	1	1	b-verb.emotion	1												
VB-worry	1	1	b-verb.emotion	1												
VB-want	1	1	b-verb.emotion	1												
VBG-wanting	1	1	b-verb.emotion	1												
VBD-felt	1	1	b-verb.emotion	1												
VERB-rues	1	1	b-verb.emotion	1												
VBP-appreciate	1	1	b-verb.emotion	1												
VBD-liked	1	1	b-verb.emotion	1												
VERB-fazed	1	1	b-verb.emotion	1												
VBD-impressed	1	1	b-verb.emotion	1												
VERB-loving	1	1	b-verb.emotion	1												
VBN-bored	1	1	b-verb.emotion	1												
VBG-crying	1	1	b-verb.emotion	1												
VB-regret	1	1	b-verb.emotion	1												
VBG-pissing	1	1	b-verb.emotion	1												
VBP-luvz	1	1	b-verb.emotion	1												
VBN-worried	1	1	b-verb.emotion	1												
VB-fck	1	1	b-verb.emotion	1												
VERB-hurts	1	1	b-verb.emotion	1												
VERB-inspire	1	1	b-verb.emotion	1												
VERB-loved	1	1	b-verb.emotion	1												
VBN-scared	1	1	b-verb.emotion	1												
VB-spite	1	1	b-verb.emotion	1												
VERB-heart	1	1	b-verb.emotion	1												
VBP-heart	1	1	b-verb.emotion	1												
VBD-enjoyed	1	1	b-verb.emotion	1												
HT-#hurrt	1	1	b-verb.emotion	1												
VB-hope	1	1	b-verb.emotion	1												
VBD-shocked	1	1	b-verb.emotion	1												
VBN-distracted	1	1	b-verb.emotion	1												
VBG-cooking	1	1	b-verb.creation	1												
VERB-perform	1	1	b-verb.creation	1												
VB-2write	1	1	b-verb.creation	1												
VBP-write	1	1	b-verb.creation	1												
VERB-written	1	1	b-verb.creation	1												
NOUN-prod	1	1	b-verb.creation	1												
VBZ-causes	1	1	b-verb.creation	1												
VBD-cooked	1	1	b-verb.creation	1												
VB-draw	1	1	b-verb.creation	1												
VBG-makin	1	1	b-verb.creation	1												
VB-remake	1	1	b-verb.creation	1												
VERB-do	1	1	b-verb.creation	1												
VERB-directed	1	1	b-verb.creation	1												
VERB-plan	1	1	b-verb.creation	1												
VBD-worked	1	1	b-verb.creation	1												
VBG-sketching	1	1	b-verb.creation	1												
VERB-gave	1	1	b-verb.creation	1												
VBG-configuring	1	1	b-verb.creation	1												
NNP-draw	1	1	b-verb.creation	1												
VB-scan	1	1	b-verb.creation	1												
VB-recapture	1	1	b-verb.creation	1												
VBG-plotting	1	1	b-verb.creation	1												
VBN-printed	1	1	b-verb.creation	1												
VERB-motivated	1	1	b-verb.creation	1												
VBG-spinning	1	1	b-verb.creation	1												
VERB-cook	1	1	b-verb.creation	1												
VBG-baking	1	1	b-verb.creation	1												
VB-design	1	1	b-verb.creation	1												
VB-set	1	1	b-verb.creation	1												
NOUN-dir	1	1	b-verb.creation	1												
VBN-written	1	1	b-verb.creation	1												
VBG-building	1	1	b-verb.creation	1												
VBG-entering	1	1	b-verb.creation	1												
VBD-typed	1	1	b-verb.creation	1												
VBG-cookin	1	1	b-verb.creation	1												
VERB-causes	1	1	b-verb.creation	1												
VB-setup	1	1	b-verb.creation	1												
VB-hold	1	1	b-verb.contact	1												
VBN-marked	1	1	b-verb.contact	1												
VBP-stick	1	1	b-verb.contact	1												
VBP-hit	1	1	b-verb.contact	1												
VBD-hemmed	1	1	b-verb.contact	1												
VB-close	1	1	b-verb.contact	1												
VBZ-shoots	1	1	b-verb.contact	1												
VBZ-bats	1	1	b-verb.contact	1												
VBG-*throwing	1	1	b-verb.contact	1												
VB-kiss	1	1	b-verb.contact	1												
VBG-kissing	1	1	b-verb.contact	1												
VBN-tamped	1	1	b-verb.contact	1												
VBN-pressed	1	1	b-verb.contact	1												
VBN-covered	1	1	b-verb.contact	1												
VBZ-*kisses	1	1	b-verb.contact	1												
VBZ-peels	1	1	b-verb.contact	1												
VBD-picked	1	1	b-verb.contact	1												
VBN-put	1	1	b-verb.contact	1												
VBZ-bites	1	1	b-verb.contact	1												
VBG-spilling	1	1	b-verb.contact	1												
VB-plant	1	1	b-verb.contact	1												
VBP-pet	1	1	b-verb.contact	1												
VBN-pulled	1	1	b-verb.contact	1												
VB-sit	1	1	b-verb.contact	1												
VB-lock	1	1	b-verb.contact	1												
VERB-know	1	1	b-verb.contact	1												
VB-touch	1	1	b-verb.contact	1												
VBD-connected	1	1	b-verb.contact	1												
VBP-eat	1	1	b-verb.consumption	1												
VB-drink	1	1	b-verb.consumption	1												
VBZ-eat	1	1	b-verb.consumption	1												
VERB-tried	1	1	b-verb.consumption	1												
VBP-power	1	1	b-verb.consumption	1												
NNPS-eats	1	1	b-verb.consumption	1												
VB-ate	1	1	b-verb.consumption	1												
VBG-eatin	1	1	b-verb.consumption	1												
VERB-served	1	1	b-verb.consumption	1												
NNP-drink	1	1	b-verb.consumption	1												
VB-avail	1	1	b-verb.consumption	1												
VB-compete	1	1	b-verb.competition	1												
VBZ-scores	1	1	b-verb.competition	1												
VERB-challenge	1	1	b-verb.competition	1												
VBG-qualifying	1	1	b-verb.competition	1												
VBN-charged	1	1	b-verb.competition	1												
MD-better	1	1	b-verb.competition	1												
VBN-fired	1	1	b-verb.competition	1												
VERB-attacked	1	1	b-verb.competition	1												
VBD-set	1	1	b-verb.competition	1												
VBD-entered	1	1	b-verb.competition	1												
VERB-won	1	1	b-verb.competition	1												
NN-fired	1	1	b-verb.competition	1												
VERB-scored	1	1	b-verb.competition	1												
VERB-battling	1	1	b-verb.competition	1												
VERB-starting	1	1	b-verb.competition	1												
VBP-untag	1	1	b-verb.communication	1												
VB-agree	1	1	b-verb.communication	1												
VB-post	1	1	b-verb.communication	1												
VBZ-bles	1	1	b-verb.communication	1												
VB-tag	1	1	b-verb.communication	1												
VBZ-explains	1	1	b-verb.communication	1												
VBG-noting	1	1	b-verb.communication	1												
VBP-agree	1	1	b-verb.communication	1												
VERB-files	1	1	b-verb.communication	1												
VERB-shot	1	1	b-verb.communication	1												
VB-yell	1	1	b-verb.communication	1												
VBN-named	1	1	b-verb.communication	1												
VERB-dissuade	1	1	b-verb.communication	1												
VERB-denies	1	1	b-verb.communication	1												
VERB-welcome	1	1	b-verb.communication	1												
VB-criticize	1	1	b-verb.communication	1												
VBG-teaching	1	1	b-verb.communication	1												
VB-respond	1	1	b-verb.communication	1												
VBP-sware	1	1	b-verb.communication	1												
VBG-requesting	1	1	b-verb.communication	1												
VERB-vows	1	1	b-verb.communication	1												
VB-air	1	1	b-verb.communication	1												
VBG-showing	1	1	b-verb.communication	1												
VBG-stuntin	1	1	b-verb.communication	1												
VB-beg	1	1	b-verb.communication	1												
VBD-responded	1	1	b-verb.communication	1												
VBZ-bless	1	1	b-verb.communication	1												
VB-snap	1	1	b-verb.communication	1												
VBG-playing	1	1	b-verb.communication	1												
VBP-swear	1	1	b-verb.communication	1												
VB-tex	1	1	b-verb.communication	1												
VBD-informed	1	1	b-verb.communication	1												
VBZ-say	1	1	b-verb.communication	1												
VBN-qualified	1	1	b-verb.communication	1												
VBG-defendi	1	1	b-verb.communication	1												
NNP-wyd	1	1	b-verb.communication	1												
VBZ-present	1	1	b-verb.communication	1												
VBZ-tel	1	1	b-verb.communication	1												
VBZ-says	1	1	b-verb.communication	1												
VBZ-drops	1	1	b-verb.communication	1												
VERB-kidding	1	1	b-verb.communication	1												
VBZ-complains	1	1	b-verb.communication	1												
VB-thankk	1	1	b-verb.communication	1												
VBP-look	1	1	b-verb.communication	1												
VB-sign	1	1	b-verb.communication	1												
VERB-chats	1	1	b-verb.communication	1												
VB-ask	1	1	b-verb.communication	1												
NOUN-#nowplaying	1	1	b-verb.communication	1												
VB-answer	1	1	b-verb.communication	1												
VBG-tellin	1	1	b-verb.communication	1												
VBP-host	1	1	b-verb.communication	1												
VERB-talking	1	1	b-verb.communication	1												
VBD-taught	1	1	b-verb.communication	1												
VBG-telling	1	1	b-verb.communication	1												
VB-explain	1	1	b-verb.communication	1												
VB-enlighten	1	1	b-verb.communication	1												
VERB-redefine	1	1	b-verb.communication	1												
VERB-called	1	1	b-verb.communication	1												
VERB-promoting	1	1	b-verb.communication	1												
VBD-ordered	1	1	b-verb.communication	1												
VBP-tell	1	1	b-verb.communication	1												
VBZ-asks	1	1	b-verb.communication	1												
VBP-compliment	1	1	b-verb.communication	1												
VBZ-admits	1	1	b-verb.communication	1												
VBP-present	1	1	b-verb.communication	1												
VBP-tweet	1	1	b-verb.communication	1												
VBZ-responds	1	1	b-verb.communication	1												
VBG-talkin	1	1	b-verb.communication	1												
VBN-said	1	1	b-verb.communication	1												
VBD-blessed	1	1	b-verb.communication	1												
VB-declare	1	1	b-verb.communication	1												
VB-send	1	1	b-verb.communication	1												
VBG-responding	1	1	b-verb.communication	1												
VERB-word	1	1	b-verb.communication	1												
VBG-cussin	1	1	b-verb.communication	1												
VBD-posted	1	1	b-verb.communication	1												
VB-visit	1	1	b-verb.communication	1												
VB-dictate	1	1	b-verb.communication	1												
VERB-posting	1	1	b-verb.communication	1												
VB-speak	1	1	b-verb.communication	1												
VBD-smiled	1	1	b-verb.communication	1												
VBG-whispering	1	1	b-verb.communication	1												
VERB-dismisses	1	1	b-verb.communication	1												
VB-register4	1	1	b-verb.communication	1												
VERB-rocking	1	1	b-verb.communication	1												
VERB-hints	1	1	b-verb.communication	1												
VBD-confirmed	1	1	b-verb.communication	1												
VBD-spoke	1	1	b-verb.communication	1												
VB-confirm	1	1	b-verb.communication	1												
VBZ-suggests	1	1	b-verb.communication	1												
VBN-published	1	1	b-verb.communication	1												
VBD-retweeted	1	1	b-verb.communication	1												
VBN-tweeted	1	1	b-verb.communication	1												
VERB-agreed	1	1	b-verb.communication	1												
VERB-tells	1	1	b-verb.communication	1												
VERB-chant	1	1	b-verb.communication	1												
VERB-rescheduled	1	1	b-verb.communication	1												
VBP-forgave	1	1	b-verb.communication	1												
VB-preach	1	1	b-verb.communication	1												
